Block_Index,Message,HashTime_uS,VerifyTime_uS,PrevHash_OK,Valid
216,"t=22.94,h=36.51,p=1011.92",62,2,True,True
217,"t=22.94,h=36.51,p=1011.92",61,2,True,True
218,"t=22.94,h=36.51,p=1011.92",62,2,True,True
219,"t=22.94,h=36.51,p=1011.92",61,2,True,True
220,"t=22.94,h=36.51,p=1011.92",62,2,True,True
221,"t=22.94,h=36.51,p=1011.92",65,2,True,True
222,"t=22.94,h=36.51,p=1011.92",62,31,True,True
223,"t=22.94,h=36.51,p=1011.92",62,5,True,True
224,"t=22.94,h=36.51,p=1011.92",63,5,True,True
225,"t=22.94,h=36.50,p=1011.89",61,4,True,True
226,"t=22.94,h=36.50,p=1011.89",62,5,True,True
227,"t=22.94,h=36.50,p=1011.89",61,4,True,True
228,"t=22.94,h=36.50,p=1011.89",62,5,True,True
229,"t=22.94,h=36.50,p=1011.89",78,4,True,True
230,"t=22.94,h=36.50,p=1011.89",62,4,True,True
231,"t=22.94,h=36.50,p=1011.89",61,5,True,True
232,"t=22.94,h=36.50,p=1011.89",62,26,True,True
233,"t=22.94,h=36.50,p=1011.89",63,3,True,True
234,"t=22.94,h=36.50,p=1011.89",62,2,True,True
235,"t=22.95,h=36.55,p=1011.91",61,2,True,True
236,"t=22.95,h=36.55,p=1011.91",62,2,True,True
237,"t=22.95,h=36.55,p=1011.91",73,2,True,True
238,"t=22.95,h=36.55,p=1011.91",63,2,True,True
239,"t=22.95,h=36.55,p=1011.91",61,2,True,True
240,"t=22.95,h=36.55,p=1011.91",62,2,True,True
241,"t=22.95,h=36.55,p=1011.91",61,2,True,True
242,"t=22.95,h=36.55,p=1011.91",62,2,True,True
243,"t=22.95,h=36.55,p=1011.91",61,40,True,True
244,"t=22.95,h=36.55,p=1011.91",63,8,True,True
245,"t=22.94,h=36.57,p=1011.87",61,7,True,True
246,"t=22.94,h=36.57,p=1011.87",63,8,True,True
247,"t=22.94,h=36.57,p=1011.87",61,6,True,True
248,"t=22.94,h=36.57,p=1011.87",62,6,True,True
249,"t=22.94,h=36.57,p=1011.87",61,6,True,True
250,"t=22.94,h=36.57,p=1011.87",62,6,True,True
251,"t=22.94,h=36.57,p=1011.87",61,5,True,True
252,"t=22.94,h=36.57,p=1011.87",68,2,True,True
253,"t=22.94,h=36.57,p=1011.87",61,35,True,True
254,"t=22.95,h=36.60,p=1011.91",64,6,True,True
255,"t=22.95,h=36.60,p=1011.91",61,4,True,True
256,"t=22.95,h=36.60,p=1011.91",63,6,True,True
257,"t=22.95,h=36.60,p=1011.91",61,5,True,True
258,"t=22.95,h=36.60,p=1011.91",79,5,True,True
259,"t=22.95,h=36.60,p=1011.91",61,4,True,True
260,"t=22.95,h=36.60,p=1011.91",62,5,True,True
261,"t=22.95,h=36.60,p=1011.91",61,5,True,True
262,"t=22.95,h=36.60,p=1011.91",62,4,True,True
263,"t=22.95,h=36.60,p=1011.91",61,22,True,True
264,"t=22.95,h=36.62,p=1011.91",64,5,True,True
265,"t=22.95,h=36.62,p=1011.91",61,4,True,True
266,"t=22.95,h=36.62,p=1011.91",62,6,True,True
267,"t=22.95,h=36.62,p=1011.91",61,4,True,True
268,"t=22.95,h=36.62,p=1011.91",62,4,True,True
269,"t=22.95,h=36.62,p=1011.91",61,5,True,True
270,"t=22.95,h=36.62,p=1011.91",63,4,True,True
271,"t=22.95,h=36.62,p=1011.91",61,5,True,True
272,"t=22.95,h=36.62,p=1011.91",62,4,True,True
273,"t=22.95,h=36.62,p=1011.91",61,22,True,True
274,"t=22.95,h=36.63,p=1011.93",64,5,True,True
275,"t=22.95,h=36.63,p=1011.93",61,5,True,True
276,"t=22.95,h=36.63,p=1011.93",62,6,True,True
277,"t=22.95,h=36.63,p=1011.93",61,5,True,True
278,"t=22.95,h=36.63,p=1011.93",62,8,True,True
279,"t=22.95,h=36.63,p=1011.93",61,5,True,True
280,"t=22.95,h=36.63,p=1011.93",62,5,True,True
281,"t=22.95,h=36.63,p=1011.93",61,5,True,True
282,"t=22.95,h=36.63,p=1011.93",63,4,True,True
283,"t=22.95,h=36.64,p=1011.91",61,5,True,True
284,"t=22.95,h=36.64,p=1011.91",62,39,True,True
285,"t=22.95,h=36.64,p=1011.91",63,7,True,True
286,"t=22.95,h=36.64,p=1011.91",63,9,True,True
287,"t=22.95,h=36.64,p=1011.91",61,6,True,True
288,"t=22.95,h=36.64,p=1011.91",62,6,True,True
289,"t=22.95,h=36.64,p=1011.91",61,5,True,True
290,"t=22.95,h=36.64,p=1011.91",62,2,True,True
291,"t=22.95,h=36.64,p=1011.91",62,2,True,True
292,"t=22.95,h=36.64,p=1011.91",62,2,True,True
293,"t=22.95,h=36.66,p=1011.91",64,2,True,True
294,"t=22.95,h=36.66,p=1011.91",62,30,True,True
295,"t=22.95,h=36.66,p=1011.91",62,5,True,True
296,"t=22.95,h=36.66,p=1011.91",63,6,True,True
297,"t=22.95,h=36.66,p=1011.91",61,3,True,True
298,"t=22.95,h=36.66,p=1011.91",62,2,True,True
299,"t=22.95,h=36.66,p=1011.91",61,2,True,True
300,"t=22.95,h=36.66,p=1011.91",62,2,True,True
301,"t=22.95,h=36.66,p=1011.91",62,6,True,True
302,"t=22.95,h=36.66,p=1011.91",63,2,True,True
303,"t=22.94,h=36.67,p=1011.87",61,2,True,True
304,"t=22.94,h=36.67,p=1011.87",62,19,True,True
305,"t=22.94,h=36.67,p=1011.87",62,3,True,True
306,"t=22.94,h=36.67,p=1011.87",62,2,True,True
307,"t=22.94,h=36.67,p=1011.87",61,2,True,True
308,"t=22.94,h=36.67,p=1011.87",62,2,True,True
309,"t=22.94,h=36.67,p=1011.87",61,2,True,True
310,"t=22.94,h=36.67,p=1011.87",62,2,True,True
311,"t=22.94,h=36.67,p=1011.87",61,2,True,True
312,"t=22.94,h=36.67,p=1011.87",63,3,True,True
313,"t=22.94,h=36.68,p=1011.87",60,3,True,True
314,"t=22.94,h=36.68,p=1011.87",61,28,True,True
315,"t=22.94,h=36.68,p=1011.87",61,2,True,True
316,"t=22.94,h=36.68,p=1011.87",61,2,True,True
317,"t=22.94,h=36.68,p=1011.87",60,2,True,True
318,"t=22.94,h=36.68,p=1011.87",61,2,True,True
319,"t=22.94,h=36.68,p=1011.87",60,2,True,True
320,"t=22.94,h=36.68,p=1011.87",61,2,True,True
321,"t=22.94,h=36.68,p=1011.87",60,2,True,True
322,"t=22.95,h=36.67,p=1011.90",63,2,True,True
323,"t=22.95,h=36.67,p=1011.90",61,2,True,True
324,"t=22.95,h=36.67,p=1011.90",63,2,True,True
325,"t=22.95,h=36.67,p=1011.90",84,28,True,True
326,"t=22.95,h=36.67,p=1011.90",63,7,True,True
327,"t=22.95,h=36.67,p=1011.90",61,7,True,True
328,"t=22.95,h=36.67,p=1011.90",62,6,True,True
329,"t=22.95,h=36.67,p=1011.90",61,7,True,True
330,"t=22.95,h=36.67,p=1011.90",86,29,True,True
331,"t=22.95,h=36.67,p=1011.90",62,6,True,True
332,"t=22.96,h=36.64,p=1011.92",86,5,True,True
333,"t=22.96,h=36.64,p=1011.92",61,4,True,True
334,"t=22.96,h=36.64,p=1011.92",62,2,True,True
335,"t=22.96,h=36.64,p=1011.92",61,2,True,True
336,"t=22.96,h=36.64,p=1011.92",63,21,True,True
337,"t=22.96,h=36.64,p=1011.92",62,5,True,True
338,"t=22.96,h=36.64,p=1011.92",62,5,True,True
339,"t=22.96,h=36.64,p=1011.92",61,5,True,True
340,"t=22.96,h=36.64,p=1011.92",62,4,True,True
341,"t=22.96,h=36.64,p=1011.92",61,5,True,True
342,"t=22.96,h=36.70,p=1011.89",62,5,True,True
343,"t=22.96,h=36.70,p=1011.89",61,5,True,True
344,"t=22.96,h=36.70,p=1011.89",62,5,True,True
345,"t=22.96,h=36.70,p=1011.89",61,4,True,True
346,"t=22.96,h=36.70,p=1011.89",63,33,True,True
347,"t=22.96,h=36.70,p=1011.89",63,3,True,True
348,"t=22.96,h=36.70,p=1011.89",62,3,True,True
349,"t=22.96,h=36.70,p=1011.89",61,3,True,True
350,"t=22.96,h=36.70,p=1011.89",62,2,True,True
351,"t=22.96,h=36.73,p=1011.91",61,12,True,True
352,"t=22.96,h=36.73,p=1011.91",62,5,True,True
353,"t=22.96,h=36.73,p=1011.91",61,5,True,True
354,"t=22.96,h=36.73,p=1011.91",62,5,True,True
355,"t=22.96,h=36.73,p=1011.91",62,5,True,True
356,"t=22.96,h=36.73,p=1011.91",63,4,True,True
357,"t=22.96,h=36.73,p=1011.91",61,5,True,True
358,"t=22.96,h=36.73,p=1011.91",62,38,True,True
359,"t=22.96,h=36.73,p=1011.91",70,10,True,True
360,"t=22.96,h=36.73,p=1011.91",62,7,True,True
361,"t=22.96,h=36.69,p=1011.89",62,6,True,True
362,"t=22.96,h=36.69,p=1011.89",62,6,True,True
363,"t=22.96,h=36.69,p=1011.89",61,7,True,True
364,"t=22.96,h=36.69,p=1011.89",62,7,True,True
365,"t=22.96,h=36.69,p=1011.89",61,2,True,True
366,"t=22.96,h=36.69,p=1011.89",62,2,True,True
367,"t=22.96,h=36.69,p=1011.89",61,2,True,True
368,"t=22.96,h=36.69,p=1011.89",62,2,True,True
369,"t=22.96,h=36.69,p=1011.89",61,2,True,True
370,"t=22.96,h=36.69,p=1011.89",62,27,True,True
371,"t=22.96,h=36.73,p=1011.90",70,3,True,True
372,"t=22.96,h=36.73,p=1011.90",62,2,True,True
373,"t=22.96,h=36.73,p=1011.90",72,2,True,True
374,"t=22.96,h=36.73,p=1011.90",62,3,True,True
375,"t=22.96,h=36.73,p=1011.90",61,2,True,True
376,"t=22.96,h=36.73,p=1011.90",63,2,True,True
377,"t=22.96,h=36.73,p=1011.90",61,2,True,True
378,"t=22.96,h=36.73,p=1011.90",63,21,True,True
379,"t=22.96,h=36.73,p=1011.90",62,7,True,True
380,"t=22.96,h=36.69,p=1011.90",62,5,True,True
381,"t=22.96,h=36.69,p=1011.90",62,5,True,True
382,"t=22.96,h=36.69,p=1011.90",62,4,True,True
383,"t=22.96,h=36.69,p=1011.90",61,5,True,True
384,"t=22.96,h=36.69,p=1011.90",62,5,True,True
385,"t=22.96,h=36.69,p=1011.90",61,4,True,True
386,"t=22.96,h=36.69,p=1011.90",63,4,True,True
387,"t=22.96,h=36.69,p=1011.90",62,4,True,True
388,"t=22.96,h=36.69,p=1011.90",63,5,True,True
389,"t=22.96,h=36.69,p=1011.90",61,5,True,True
390,"t=22.97,h=36.76,p=1011.90",63,35,True,True
391,"t=22.97,h=36.76,p=1011.90",69,5,True,True
392,"t=22.97,h=36.76,p=1011.90",63,5,True,True
393,"t=22.97,h=36.76,p=1011.90",61,4,True,True
394,"t=22.97,h=36.76,p=1011.90",62,5,True,True
395,"t=22.97,h=36.76,p=1011.90",61,4,True,True
396,"t=22.97,h=36.76,p=1011.90",67,4,True,True
397,"t=22.97,h=36.76,p=1011.90",61,4,True,True
398,"t=22.97,h=36.76,p=1011.90",63,4,True,True
399,"t=22.97,h=36.76,p=1011.90",61,44,True,True
400,"t=22.94,h=36.75,p=1011.84",62,7,True,True
401,"t=22.94,h=36.75,p=1011.84",61,5,True,True
402,"t=22.94,h=36.75,p=1011.84",61,2,True,True
403,"t=22.94,h=36.75,p=1011.84",60,2,True,True
404,"t=22.94,h=36.75,p=1011.84",61,2,True,True
405,"t=22.94,h=36.75,p=1011.84",60,2,True,True
406,"t=22.94,h=36.75,p=1011.84",61,2,True,True
407,"t=22.94,h=36.75,p=1011.84",60,2,True,True
408,"t=22.94,h=36.75,p=1011.84",61,2,True,True
409,"t=22.94,h=36.75,p=1011.84",60,2,True,True
410,"t=22.97,h=36.72,p=1011.91",63,2,True,True
411,"t=22.97,h=36.72,p=1011.91",61,47,True,True
412,"t=22.97,h=36.72,p=1011.91",70,8,True,True
413,"t=22.97,h=36.72,p=1011.91",62,7,True,True
414,"t=22.97,h=36.72,p=1011.91",62,7,True,True
415,"t=22.97,h=36.72,p=1011.91",63,6,True,True
416,"t=22.97,h=36.72,p=1011.91",61,14,True,True
417,"t=22.97,h=36.72,p=1011.91",62,41,True,True
418,"t=22.97,h=36.72,p=1011.91",62,8,True,True
419,"t=22.96,h=36.74,p=1011.89",62,7,True,True
420,"t=22.96,h=36.74,p=1011.89",61,6,True,True
421,"t=22.96,h=36.74,p=1011.89",62,7,True,True
422,"t=22.96,h=36.74,p=1011.89",61,6,True,True
423,"t=22.96,h=36.74,p=1011.89",62,6,True,True
424,"t=22.96,h=36.74,p=1011.89",61,6,True,True
425,"t=22.96,h=36.74,p=1011.89",62,6,True,True
426,"t=22.96,h=36.74,p=1011.89",61,3,True,True
427,"t=22.96,h=36.74,p=1011.89",62,2,True,True
428,"t=22.96,h=36.74,p=1011.89",61,28,True,True
429,"t=22.97,h=36.75,p=1011.91",63,3,True,True
430,"t=22.97,h=36.75,p=1011.91",61,2,True,True
431,"t=22.97,h=36.75,p=1011.91",63,3,True,True
432,"t=22.97,h=36.75,p=1011.91",61,2,True,True
433,"t=22.97,h=36.75,p=1011.91",62,2,True,True
434,"t=22.97,h=36.75,p=1011.91",61,2,True,True
435,"t=22.97,h=36.75,p=1011.91",62,2,True,True
436,"t=22.97,h=36.75,p=1011.91",62,2,True,True
437,"t=22.97,h=36.75,p=1011.91",83,2,True,True
438,"t=22.97,h=36.75,p=1011.91",61,38,True,True
