Block_Index,Frame_Bytes,HashTime_uS,VerifyTime_uS,PrevHash_OK,Valid
570,240,52,7,True,True
571,240,55,5,True,True
572,240,58,28,True,True
573,240,55,8,True,True
574,240,64,21,True,True
575,240,55,4,True,True
576,240,55,3,True,True
577,240,57,17,True,True
578,240,53,4,True,True
579,240,53,4,True,True
580,240,58,21,True,True
581,240,53,4,True,True
582,240,59,19,True,True
583,240,57,3,True,True
584,240,54,4,True,True
585,240,59,19,True,True
586,240,55,3,True,True
587,240,55,3,True,True
588,240,58,17,True,True
589,240,63,3,True,True
590,240,55,4,True,True
591,240,64,35,True,True
592,240,63,9,True,True
593,240,53,15,True,True
594,240,69,2,True,True
595,240,55,2,True,True
596,240,65,35,True,True
597,240,63,12,True,True
598,240,52,11,True,True
599,240,59,27,True,True
600,240,51,8,True,True
601,240,66,18,True,True
602,240,68,28,True,True
603,240,68,8,True,True
604,240,113,26,True,True
605,240,75,8,True,True
606,240,62,30,True,True
607,240,59,8,True,True
608,240,53,7,True,True
609,240,44,21,True,True
610,240,44,6,True,True
611,240,46,30,True,True
612,240,36,13,True,True
613,240,42,10,True,True
614,240,43,33,True,True
615,240,39,14,True,True
616,240,45,22,True,True
617,240,41,5,True,True
618,240,44,38,True,True
619,240,39,7,True,True
620,240,45,7,True,True
621,240,45,37,True,True
622,240,42,3,True,True
623,240,49,21,True,True
624,240,52,6,True,True
625,240,52,15,True,True
626,240,52,3,True,True
627,240,49,2,True,True
628,240,55,15,True,True
629,240,54,2,True,True
630,240,54,2,True,True
631,240,62,23,True,True
632,240,63,6,True,True
633,240,53,25,True,True
634,240,54,7,True,True
635,240,55,5,True,True
636,240,54,20,True,True
637,240,61,3,True,True
638,240,55,26,True,True
639,240,57,10,True,True
640,240,54,7,True,True
641,240,54,30,True,True
642,240,58,8,True,True
643,240,55,22,True,True
644,240,62,5,True,True
645,240,53,5,True,True
646,240,59,41,True,True
647,240,54,8,True,True
648,240,55,17,True,True
649,240,54,2,True,True
650,240,52,2,True,True
651,240,53,50,True,True
652,240,52,6,True,True
653,240,45,8,True,True
654,240,47,27,True,True
655,240,39,8,True,True
656,240,42,32,True,True
657,240,39,8,True,True
658,240,38,7,True,True
659,240,42,45,True,True
660,240,40,8,True,True
661,240,34,10,True,True
662,240,42,29,True,True
663,240,39,8,True,True
664,240,43,39,True,True
665,240,42,14,True,True
666,240,38,7,True,True
667,240,44,29,True,True
668,240,45,3,True,True
669,240,42,40,True,True
670,240,39,8,True,True
671,240,35,3,True,True
672,240,44,38,True,True
673,240,48,6,True,True
674,240,42,2,True,True
675,240,45,19,True,True
676,240,39,4,True,True
677,240,39,3,True,True
678,240,46,18,True,True
679,240,40,4,True,True
680,240,47,3,True,True
681,240,44,17,True,True
682,240,44,2,True,True
683,240,48,2,True,True
684,240,44,51,True,True
685,240,39,8,True,True
686,240,43,40,True,True
687,240,52,8,True,True
688,240,41,7,True,True
689,240,43,23,True,True
690,240,37,5,True,True
691,240,37,5,True,True
692,240,44,29,True,True
693,240,38,8,True,True
694,240,39,8,True,True
695,240,44,18,True,True
696,240,37,4,True,True
697,240,51,4,True,True
698,240,45,33,True,True
699,240,39,12,True,True
700,240,37,7,True,True
701,240,51,26,True,True
702,240,39,3,True,True
703,240,43,29,True,True
704,240,39,8,True,True
705,240,43,7,True,True
706,240,44,39,True,True
707,240,36,3,True,True
708,240,39,2,True,True
709,240,42,42,True,True
710,240,39,8,True,True
711,240,36,8,True,True
712,240,43,17,True,True
713,240,43,2,True,True
714,240,41,30,True,True
715,240,39,8,True,True
716,240,38,7,True,True
717,240,43,38,True,True
718,240,39,7,True,True
719,240,37,9,True,True
720,240,46,33,True,True
721,240,53,6,True,True
722,240,48,21,True,True
723,240,40,7,True,True
724,240,35,2,True,True
725,240,46,15,True,True
726,240,40,2,True,True
727,240,35,2,True,True
728,240,45,15,True,True
729,240,40,3,True,True
730,240,45,7,True,True
731,240,43,17,True,True
732,240,38,4,True,True
733,240,42,19,True,True
734,240,36,3,True,True
735,240,37,2,True,True
736,240,43,29,True,True
737,240,39,8,True,True
738,240,40,8,True,True
739,240,42,29,True,True
740,240,37,8,True,True
741,240,46,7,True,True
742,240,43,21,True,True
743,240,41,9,True,True
744,240,43,7,True,True
745,240,48,15,True,True
746,240,40,3,True,True
747,240,37,2,True,True
748,240,66,44,True,True
749,240,38,14,True,True
750,240,39,10,True,True
751,240,51,37,True,True
752,240,42,8,True,True
753,240,43,22,True,True
754,240,46,2,True,True
755,240,36,2,True,True
756,240,41,39,True,True
757,240,39,8,True,True
758,240,37,10,True,True
759,240,41,31,True,True
760,240,65,6,True,True
761,240,45,18,True,True
762,240,39,4,True,True
763,240,39,4,True,True
764,240,45,15,True,True
765,240,37,2,True,True
766,240,40,33,True,True
767,240,42,5,True,True
768,240,37,7,True,True
769,240,41,32,True,True
770,240,44,6,True,True
771,240,33,5,True,True
772,240,46,41,True,True
773,240,42,10,True,True
774,240,35,8,True,True
775,240,44,15,True,True
776,240,39,2,True,True
777,240,37,2,True,True
778,240,44,42,True,True
779,240,37,8,True,True
780,240,41,7,True,True
781,240,42,27,True,True
782,240,38,6,True,True
783,240,43,39,True,True
784,240,36,8,True,True
785,240,39,7,True,True
786,240,41,31,True,True
787,240,40,7,True,True
788,240,38,7,True,True
789,240,39,38,True,True
790,240,38,8,True,True
791,240,39,9,True,True
792,240,36,7,True,True
793,240,44,15,True,True
794,240,39,2,True,True
795,240,44,19,True,True
796,240,37,7,True,True
797,240,37,5,True,True
798,240,48,5,True,True
799,240,44,21,True,True
800,240,39,5,True,True
801,240,51,6,True,True
802,240,42,27,True,True
803,240,42,7,True,True
804,240,38,2,True,True
805,240,46,29,True,True
806,240,43,10,True,True
807,240,53,39,True,True
808,240,45,8,True,True
809,240,48,7,True,True
810,240,48,28,True,True
811,240,44,10,True,True
812,240,45,7,True,True
813,240,54,38,True,True
814,240,52,8,True,True
815,240,56,40,True,True
816,240,57,4,True,True
817,240,58,2,True,True
818,240,56,32,True,True
819,240,53,6,True,True
820,240,50,45,True,True
821,240,39,10,True,True
822,240,45,21,True,True
823,240,39,4,True,True
824,240,39,3,True,True
825,240,45,38,True,True
826,240,40,10,True,True
827,240,39,7,True,True
828,240,42,47,True,True
829,240,39,46,True,True
830,240,45,36,True,True
831,240,38,8,True,True
832,240,43,35,True,True
833,240,46,7,True,True
834,240,43,3,True,True
835,240,62,16,True,True
836,240,61,2,True,True
837,240,60,7,True,True
838,240,60,30,True,True
839,240,49,8,True,True
840,240,47,7,True,True
841,240,48,28,True,True
842,240,46,8,True,True
843,240,41,8,True,True
844,240,45,33,True,True
845,240,37,6,True,True
846,240,43,17,True,True
847,240,35,3,True,True
848,240,47,3,True,True
849,240,48,15,True,True
850,240,39,2,True,True
851,240,50,17,True,True
852,240,45,15,True,True
853,240,41,3,True,True
854,240,43,29,True,True
855,240,43,8,True,True
856,240,38,7,True,True
857,240,41,33,True,True
858,240,46,7,True,True
859,240,38,2,True,True
860,240,41,25,True,True
861,240,38,3,True,True
862,240,41,2,True,True
863,240,41,35,True,True
864,240,41,6,True,True
865,240,38,5,True,True
866,240,42,40,True,True
867,240,39,8,True,True
868,240,41,37,True,True
869,240,53,5,True,True
870,240,42,5,True,True
871,240,42,25,True,True
872,240,44,3,True,True
873,240,40,3,True,True
874,240,42,21,True,True
875,240,38,3,True,True
876,240,36,3,True,True
877,240,44,39,True,True
878,240,39,6,True,True
879,240,35,7,True,True
880,240,40,37,True,True
881,240,36,8,True,True
882,240,37,7,True,True
883,240,43,28,True,True
884,240,43,8,True,True
885,240,38,7,True,True
886,240,40,28,True,True
887,240,37,8,True,True
888,240,40,5,True,True
889,240,41,16,True,True
890,240,38,2,True,True
891,240,71,15,True,True
892,240,37,2,True,True
893,240,33,2,True,True
894,240,42,16,True,True
895,240,41,2,True,True
896,240,40,2,True,True
897,240,50,41,True,True
898,240,40,8,True,True
899,240,33,10,True,True
900,240,42,18,True,True
901,240,51,10,True,True
902,240,38,2,True,True
903,240,50,20,True,True
904,240,41,6,True,True
905,240,41,44,True,True
906,240,38,8,True,True
907,240,38,7,True,True
908,240,43,39,True,True
909,240,40,11,True,True
910,240,36,7,True,True
911,240,43,31,True,True
912,240,37,6,True,True
913,240,43,15,True,True
914,240,36,3,True,True
915,240,39,2,True,True
916,240,51,39,True,True
917,240,39,8,True,True
918,240,44,26,True,True
919,240,39,5,True,True
920,240,39,2,True,True
921,240,43,25,True,True
922,240,40,2,True,True
923,240,41,50,True,True
924,240,36,9,True,True
925,240,43,7,True,True
926,240,43,18,True,True
927,240,38,2,True,True
928,240,39,3,True,True
929,240,41,38,True,True
930,240,38,6,True,True
931,240,44,29,True,True
932,240,39,8,True,True
933,240,39,9,True,True
934,240,43,38,True,True
935,240,37,8,True,True
936,240,36,7,True,True
937,240,69,25,True,True
938,240,35,9,True,True
939,240,39,3,True,True
940,240,49,15,True,True
941,240,44,2,True,True
942,240,37,2,True,True
943,240,41,16,True,True
944,240,45,2,True,True
945,240,54,2,True,True
946,240,53,39,True,True
947,240,53,8,True,True
948,240,56,23,True,True
949,240,55,4,True,True
950,240,62,3,True,True
951,240,54,15,True,True
952,240,54,2,True,True
953,240,61,18,True,True
954,240,54,2,True,True
955,240,54,2,True,True
956,240,54,33,True,True
957,240,54,6,True,True
958,240,54,7,True,True
959,240,59,28,True,True
960,240,53,3,True,True
961,240,55,40,True,True
962,240,53,8,True,True
963,240,53,41,True,True
964,240,53,14,True,True
965,240,52,7,True,True
966,240,55,41,True,True
967,240,54,6,True,True
968,240,52,32,True,True
969,240,52,7,True,True
970,240,48,5,True,True
971,240,47,45,True,True
972,240,43,11,True,True
973,240,44,16,True,True
974,240,48,29,True,True
975,240,51,8,True,True
976,240,52,5,True,True
977,240,52,28,True,True
978,240,56,7,True,True
979,240,56,39,True,True
980,240,62,8,True,True
981,240,56,7,True,True
982,240,54,15,True,True
983,240,42,3,True,True
984,240,42,2,True,True
985,240,45,29,True,True
986,240,39,8,True,True
987,240,44,26,True,True
988,240,39,16,True,True
989,240,38,6,True,True
990,240,44,37,True,True
991,240,39,8,True,True
992,240,47,28,True,True
993,240,36,9,True,True
994,240,39,7,True,True
995,240,49,17,True,True
996,240,45,3,True,True
997,240,46,3,True,True
998,240,49,21,True,True
999,240,37,4,True,True
1000,240,38,3,True,True
1001,240,51,15,True,True
1002,240,38,2,True,True
1003,240,46,63,True,True
1004,240,37,12,True,True
1005,240,38,6,True,True
1006,240,45,26,True,True
1007,240,37,3,True,True
1008,240,36,4,True,True
1009,240,43,30,True,True
1010,240,38,6,True,True
1011,240,36,5,True,True
1012,240,45,41,True,True
1013,240,39,11,True,True
1014,240,42,50,True,True
1015,240,39,10,True,True
1016,240,38,8,True,True
1017,240,42,29,True,True
1018,240,42,2,True,True
1019,240,43,33,True,True
1020,240,36,5,True,True
1021,240,36,5,True,True
1022,240,42,74,True,True
1023,240,40,13,True,True
1024,240,42,36,True,True
1025,240,40,11,True,True
1026,240,37,13,True,True
1027,240,42,15,True,True
1028,240,39,2,True,True
1029,240,37,2,True,True
1030,240,43,15,True,True
1031,240,38,2,True,True
1032,240,33,2,True,True
1033,240,41,16,True,True
1034,240,40,4,True,True
1035,240,35,2,True,True
1036,240,44,15,True,True
1037,240,39,2,True,True
1038,240,43,29,True,True
1039,240,37,10,True,True
1040,240,39,7,True,True
1041,240,45,15,True,True
1042,240,37,2,True,True
1043,240,42,2,True,True
1044,240,44,41,True,True
1045,240,37,8,True,True
1046,240,41,39,True,True
1047,240,38,8,True,True
1048,240,36,7,True,True
1049,240,42,19,True,True
1050,240,38,3,True,True
1051,240,51,22,True,True
1052,240,46,5,True,True
1053,240,40,5,True,True
1054,240,44,5,True,True
1055,240,44,30,True,True
1056,240,38,5,True,True
1057,240,41,40,True,True
1058,240,39,8,True,True
1059,240,36,9,True,True
1060,240,42,35,True,True
1061,240,44,6,True,True
1062,240,42,5,True,True
1063,240,41,20,True,True
1064,240,38,3,True,True
1065,240,51,2,True,True
1066,240,40,2,True,True
1067,240,50,38,True,True
1068,240,39,9,True,True
1069,240,36,8,True,True
1070,240,62,39,True,True
1071,240,49,8,True,True
1072,240,45,7,True,True
1073,240,54,42,True,True
1074,240,61,3,True,True
1075,240,54,2,True,True
1076,240,62,39,True,True
1077,240,54,25,True,True
1078,240,58,30,True,True
1079,240,67,8,True,True
1080,240,55,7,True,True
1081,240,67,38,True,True
1082,240,60,8,True,True
1083,240,54,20,True,True
1084,240,74,37,True,True
1085,240,56,9,True,True
1086,240,50,7,True,True
1087,240,57,28,True,True
1088,240,57,9,True,True
1089,240,50,7,True,True
1090,240,63,33,True,True
1091,240,57,15,True,True
1092,240,51,8,True,True
1093,240,60,41,True,True
1094,240,54,8,True,True
1095,240,54,19,True,True
1096,240,59,15,True,True
1097,240,55,2,True,True
1098,240,70,23,True,True
1099,240,55,2,True,True
1100,240,59,44,True,True
1101,240,66,7,True,True
1102,240,57,2,True,True
1103,240,67,30,True,True
1104,240,53,13,True,True
1105,240,54,13,True,True
1106,240,59,29,True,True
1107,240,59,8,True,True
1108,240,51,9,True,True
1109,240,53,33,True,True
1110,240,59,6,True,True
1111,240,60,5,True,True
1112,240,60,45,True,True
1113,240,62,7,True,True
1114,240,65,30,True,True
1115,240,51,8,True,True
1116,240,52,7,True,True
1117,240,60,23,True,True
1118,240,55,5,True,True
1119,240,59,21,True,True
1120,240,53,5,True,True
1121,240,55,5,True,True
1122,240,60,31,True,True
1123,240,54,8,True,True
1124,240,95,7,True,True
1125,240,67,32,True,True
1126,240,57,11,True,True
1127,240,55,23,True,True
1128,240,61,13,True,True
1129,240,52,6,True,True
1130,240,65,21,True,True
1131,240,61,3,True,True
1132,240,54,2,True,True
1133,240,60,25,True,True
1134,240,52,6,True,True
1135,240,52,5,True,True
1136,240,63,22,True,True
1137,240,55,7,True,True
1138,240,58,28,True,True
1139,240,53,6,True,True
1140,240,54,5,True,True
1141,240,59,31,True,True
1142,240,59,9,True,True
