Chunk_ID,Size_Bytes,HashTime_uS,VerifyTime_uS,Valid
370,4096,20122,37346.90,True
371,4096,19220,35698.90,True
372,4096,18755,35769.60,True
373,4096,18942,38210.80,True
374,4096,23939,35205.60,True
375,4096,18502,33688.40,True
376,4096,19580,36151.60,True
377,4096,18617,35480.40,True
378,4096,20124,33880.60,True
379,4096,19137,35385.30,True
380,4096,18677,34722.20,True
381,4096,19158,36303.20,True
382,4096,20607,35987.40,True
383,4096,18752,35349.20,True
384,4096,18482,33434.50,True
385,4096,19303,37275.20,True
386,4096,22896,35600.00,True
387,4096,19267,37411.00,True
388,4096,18336,37646.10,True
389,4096,18852,34615.80,True
390,4096,19641,35334.30,True
391,4096,18680,36842.60,True
392,4096,19241,35725.80,True
393,4096,20596,35579.60,True
394,4096,21480,35174.10,True
395,4096,18371,37628.30,True
396,4096,17983,35642.40,True
397,4096,19140,36428.70,True
398,4096,21727,34616.40,True
399,4096,19595,37202.20,True
400,4096,18684,34802.70,True
401,4096,19565,37054.50,True
402,4096,21943,36134.00,True
403,4096,17920,36367.50,True
404,4096,19428,38427.70,True
405,4096,18149,36162.10,True
406,4096,19155,36229.70,True
407,4096,20649,35456.20,True
408,4096,18734,37042.00,True
409,4096,18175,35003.40,True
410,4096,19471,35413.40,True
411,4096,18578,36282.00,True
412,4096,17734,37008.60,True
413,4096,18356,35609.30,True
414,4096,21247,36137.60,True
415,4096,19016,36291.30,True
416,4096,19684,36657.70,True
417,4096,19462,36113.40,True
418,4096,22870,35648.10,True
419,4096,18054,37293.70,True
420,4096,19078,37299.90,True
421,4096,19213,36535.60,True
422,4096,22623,34531.40,True
423,4096,19539,36682.20,True
424,4096,18470,35598.50,True
425,4096,18227,35007.50,True
426,4096,22366,34628.80,True
427,4096,18132,35765.20,True
428,4096,24271,36261.20,True
429,4096,19240,35822.50,True
430,4096,25277,33883.60,True
431,4096,18105,36321.10,True
432,4096,18406,37109.10,True
433,4096,18670,35889.50,True
434,4096,24012,35214.20,True
435,4096,18857,36150.30,True
436,4096,19369,34315.00,True
437,4096,18074,35398.90,True
438,4096,21477,34437.30,True
439,4096,20524,36654.90,True
440,4096,19352,34021.30,True
441,4096,19211,38009.90,True
442,4096,20492,36569.80,True
443,4096,19357,34659.40,True
444,4096,18438,35156.60,True
445,4096,19725,36551.90,True
446,4096,20450,35820.90,True
447,4096,18620,36175.50,True
448,4096,19173,34766.80,True
449,4096,19339,37065.50,True
450,4096,19392,34835.30,True
451,4096,18900,37686.40,True
452,4096,18308,34974.60,True
453,4096,18343,36410.00,True
454,4096,23134,35499.20,True
455,4096,18931,35418.10,True
456,4096,18761,35679.10,True
457,4096,18916,36065.40,True
458,4096,19658,37415.70,True
459,4096,19485,35628.80,True
460,4096,18290,35624.90,True
461,4096,18360,35834.30,True
462,4096,18707,34990.40,True
463,4096,18871,35467.70,True
464,4096,19182,35432.90,True
465,4096,18704,37146.60,True
466,4096,18821,35579.00,True
467,4096,20169,36491.10,True
468,4096,19479,36857.20,True
469,4096,18647,35952.90,True
470,4096,20072,35951.70,True
471,4096,19594,36004.10,True
472,4096,19878,34681.20,True
473,4096,18851,36573.80,True
474,4096,18562,35304.30,True
475,4096,18775,36645.30,True
476,4096,21115,35645.80,True
477,4096,18881,35549.00,True
478,4096,20891,35556.40,True
479,4096,21255,34912.30,True
480,4096,18204,37380.00,True
481,4096,18323,35803.20,True
482,4096,23537,36591.40,True
483,4096,18519,37728.40,True
484,4096,20410,34809.70,True
485,4096,19005,37976.80,True
486,4096,20484,34127.00,True
487,4096,19402,36048.80,True
488,4096,19979,36026.90,True
489,4096,19614,35636.10,True
490,4096,22865,35972.10,True
491,4096,22443,34816.80,True
