Chunk_ID,Size_Bytes,DeviceTime_uS,HashTime_uS,VerifyTime_uS,CID_Valid,Published
318,25,447,55413.50,52444.90,True,True
319,25,441,55814.60,54565.60,True,True
320,25,447,54251.20,53977.60,True,True
321,25,438,55530.20,56266.50,True,True
322,25,454,54517.30,57223.60,True,True
323,25,439,54642.50,53022.30,True,True
324,25,449,57433.20,55221.90,True,True
325,25,440,56351.70,56556.00,True,True
326,25,444,55057.80,55524.00,True,True
327,25,441,55535.10,56419.70,True,True
328,25,446,55267.00,63256.70,True,True
329,25,446,54597.30,55171.10,True,True
330,25,448,53700.40,55763.70,True,True
331,25,453,52472.20,55347.70,True,True
332,25,450,59343.00,56539.70,True,True
333,25,442,55603.70,55059.10,True,True
334,25,449,54085.70,53854.30,True,True
335,25,443,54503.10,55562.90,True,True
336,25,448,55766.30,53403.80,True,True
337,25,443,60938.80,54563.50,True,True
338,25,449,54160.60,56347.00,True,True
339,25,492,55130.30,54454.10,True,True
340,25,458,54388.80,56848.80,True,True
341,25,441,55713.00,55192.60,True,True
342,25,449,58212.30,53374.50,True,True
343,25,445,56211.40,54276.70,True,True
344,25,448,54722.60,53459.70,True,True
345,25,441,55641.20,54677.60,True,True
346,25,451,54068.90,55188.60,True,True
347,25,442,53982.30,57632.40,True,True
348,25,449,55247.30,57460.40,True,True
349,25,446,55525.90,54132.40,True,True
350,25,448,56793.70,55226.00,True,True
351,25,452,52544.20,53641.80,True,True
352,25,449,58516.90,54201.00,True,True
353,25,442,55648.90,54235.00,True,True
354,25,450,56325.90,53217.00,True,True
355,25,444,56416.00,55086.00,True,True
356,25,449,54710.20,55911.20,True,True
357,25,443,53937.80,54104.50,True,True
358,25,448,56113.80,56399.60,True,True
359,25,452,57637.90,55378.00,True,True
360,25,448,54587.90,56593.30,True,True
361,25,442,55814.70,55175.40,True,True
362,25,449,54591.00,56135.60,True,True
363,25,443,55724.40,54954.50,True,True
364,25,449,56391.30,56590.10,True,True
365,25,443,52792.10,54597.60,True,True
366,25,449,54388.50,55110.50,True,True
367,25,443,53603.40,55548.90,True,True
368,25,500,57310.50,54832.80,True,True
369,25,452,55930.20,55291.10,True,True
370,25,449,53410.80,55352.60,True,True
371,25,444,55281.30,55250.20,True,True
372,25,449,55743.30,54306.90,True,True
373,25,442,55018.90,55380.20,True,True
374,25,449,55091.40,57592.60,True,True
375,25,441,54631.70,55880.20,True,True
376,25,468,55858.20,55006.00,True,True
377,25,441,54366.40,54819.30,True,True
378,25,449,55380.00,55070.40,True,True
379,25,450,54261.00,54456.40,True,True
380,25,447,56424.70,54447.70,True,True
381,25,441,55295.70,53151.30,True,True
382,25,448,57127.00,56077.00,True,True
383,25,441,56116.50,54664.90,True,True
384,25,449,55873.60,52733.30,True,True
385,25,443,55793.60,55530.00,True,True
386,25,448,54634.20,53029.60,True,True
387,25,441,53146.70,66900.20,True,True
388,25,447,57261.80,55098.00,True,True
389,25,441,57561.90,56719.30,True,True
390,25,447,55645.60,54834.80,True,True
391,25,442,52319.90,57910.90,True,True
392,25,449,53341.00,54298.40,True,True
393,25,442,55439.10,56448.50,True,True
394,25,527,57377.20,54454.10,True,True
395,25,442,54756.00,55777.10,True,True
396,25,460,54028.60,56633.80,True,True
397,25,443,54732.20,53793.60,True,True
398,25,449,56454.50,54775.10,True,True
399,25,442,57152.70,54362.90,True,True
400,25,449,54833.90,54998.90,True,True
401,25,443,56084.60,56808.20,True,True
402,25,449,55275.60,55884.90,True,True
403,25,442,54925.20,55095.80,True,True
404,25,448,56705.70,56373.60,True,True
405,25,471,54246.10,57426.20,True,True
406,25,457,57573.30,55263.20,True,True
407,25,445,55566.70,55051.90,True,True
408,25,447,58166.60,55281.90,True,True
409,25,443,56814.10,54264.20,True,True
410,25,447,56859.30,55422.10,True,True
411,25,443,56367.00,57424.20,True,True
412,25,485,55449.20,55274.20,True,True
413,25,442,55576.10,54605.00,True,True
414,25,449,56906.40,53815.60,True,True
415,25,452,54410.80,54008.40,True,True
416,25,452,56103.40,53678.70,True,True
417,25,445,55365.50,56737.60,True,True
418,25,449,55086.10,55298.20,True,True
419,25,443,54529.30,55994.30,True,True
420,25,448,56807.80,52204.30,True,True
421,25,444,55309.10,56360.30,True,True
422,25,451,56047.70,54945.20,True,True
423,25,442,51932.50,53821.80,True,True
424,25,449,58084.60,54399.10,True,True
425,25,453,56620.80,54218.60,True,True
426,25,450,52727.20,54446.60,True,True
427,25,442,55440.90,54252.30,True,True
428,25,448,55736.80,57678.60,True,True
429,25,447,54588.60,55097.90,True,True
430,25,448,55655.20,55487.40,True,True
431,25,442,54491.90,54267.50,True,True
432,25,449,54754.10,56566.90,True,True
433,25,493,55398.60,53663.10,True,True
434,25,459,54285.20,54123.30,True,True
435,25,442,55731.40,54727.90,True,True
436,25,448,55210.70,54445.30,True,True
