Chunk_ID,Sequence_ID,Size_Bytes,DeviceTime_uS,HashTime_uS,VerifyTime_uS,CID_Valid,Published
241,859057713,21,461,55103.30,56922.00,True,True
242,859057713,21,474,55086.90,54707.30,True,True
243,842280497,21,471,55310.60,55392.90,True,True
244,842280497,21,452,55175.60,56635.90,True,True
245,842280497,21,458,58527.70,56773.10,True,True
246,842280497,21,444,56168.60,55177.30,True,True
247,842280497,21,462,58427.70,53573.10,True,True
248,842280497,21,448,55811.60,53098.20,True,True
249,842280497,21,457,56958.30,56772.60,True,True
250,842280497,21,448,57157.80,57385.40,True,True
251,842280497,21,510,55137.70,53873.90,True,True
252,892612145,21,448,55515.10,53399.20,True,True
253,892612145,21,471,55682.00,55593.40,True,True
254,892612145,21,452,58451.40,56205.90,True,True
255,892612145,21,457,55638.90,55431.70,True,True
256,892612145,21,485,55235.80,54549.10,True,True
257,892612145,21,461,56712.10,55677.90,True,True
258,892612145,21,451,55645.30,55141.50,True,True
259,892612145,21,458,53755.20,55976.30,True,True
260,892612145,21,444,55174.50,54870.60,True,True
261,859057713,21,464,58227.60,54242.30,True,True
262,859057713,21,461,53893.70,57601.40,True,True
263,859057713,21,462,55803.90,58812.80,True,True
264,859057713,21,446,54329.00,55660.30,True,True
265,859057713,21,461,57345.40,55183.40,True,True
266,859057713,21,451,57181.40,55978.50,True,True
267,859057713,21,467,54430.10,55717.90,True,True
268,859057713,21,461,55334.60,54016.70,True,True
269,842280497,21,460,53850.40,56750.70,True,True
270,808726065,21,449,55433.70,52688.60,True,True
271,808726065,21,456,58306.30,57598.20,True,True
272,808726065,21,449,57764.90,56531.70,True,True
273,808726065,21,460,55311.80,55237.40,True,True
274,808726065,21,450,54934.70,56240.10,True,True
275,808726065,21,457,55657.20,57913.40,True,True
276,808726065,21,448,53841.00,55911.60,True,True
277,808726065,21,460,55324.10,55925.10,True,True
278,909389361,21,454,56092.50,57215.90,True,True
279,909389361,21,457,53988.00,55674.20,True,True
280,909389361,21,447,55895.80,57613.10,True,True
281,909389361,21,471,58209.50,57344.50,True,True
282,909389361,21,453,55464.50,54570.90,True,True
283,909389361,21,460,55430.50,55786.20,True,True
284,909389361,21,448,57473.40,57559.90,True,True
285,909389361,21,461,56452.50,54786.40,True,True
286,909389361,21,451,56288.20,55224.50,True,True
287,825503281,21,458,57488.20,55401.20,True,True
288,825503281,21,448,58718.00,54279.30,True,True
289,825503281,21,461,55514.80,55443.30,True,True
290,825503281,21,459,55876.00,54996.00,True,True
291,825503281,21,459,54486.10,54414.70,True,True
292,825503281,21,453,54672.80,56672.70,True,True
293,825503281,21,462,57388.50,54205.90,True,True
294,825503281,21,447,55648.50,54752.30,True,True
295,825503281,21,467,55973.50,54413.80,True,True
296,842280497,21,452,57144.10,54724.50,True,True
297,842280497,21,461,57096.90,54023.20,True,True
298,842280497,21,448,54572.10,58114.70,True,True
299,842280497,21,458,56736.90,55935.90,True,True
300,842280497,21,451,54845.70,55781.80,True,True
301,842280497,21,461,57006.70,54987.70,True,True
302,842280497,21,448,55599.80,54683.00,True,True
303,842280497,21,458,54791.90,57158.10,True,True
304,842280497,21,443,55405.10,53510.40,True,True
305,842280497,21,462,56374.10,55780.80,True,True
306,842280497,21,448,57453.10,56155.10,True,True
307,842280497,21,462,57469.70,56289.10,True,True
308,842280497,21,457,54954.90,53392.90,True,True
309,842280497,21,458,53442.70,55930.40,True,True
310,842280497,21,454,55770.40,55728.50,True,True
311,842280497,21,462,56199.10,56012.10,True,True
312,842280497,21,444,58100.50,53737.80,True,True
313,842280497,21,458,55355.10,55658.50,True,True
314,859057713,21,451,54053.90,53546.10,True,True
315,859057713,21,461,57357.70,55091.00,True,True
316,859057713,21,447,57726.50,55424.90,True,True
317,859057713,21,556,56830.90,56530.00,True,True
318,859057713,21,461,55385.50,53086.50,True,True
319,859057713,21,461,55038.60,56526.90,True,True
320,859057713,21,447,55029.90,60619.10,True,True
321,859057713,21,458,54722.10,57477.00,True,True
322,892612145,21,492,54325.20,56343.20,True,True
323,892612145,21,472,53422.20,57265.60,True,True
324,892612145,21,451,55950.20,57462.70,True,True
325,892612145,21,458,56098.30,56710.40,True,True
326,892612145,21,452,54862.30,56883.10,True,True
327,892612145,21,461,55545.20,59437.60,True,True
328,892612145,21,450,55615.70,55455.40,True,True
329,892612145,21,457,55656.20,58340.70,True,True
330,892612145,21,451,56931.50,57695.30,True,True
331,942878257,21,462,57245.70,56547.00,True,True
332,942878257,21,449,56486.10,55545.00,True,True
333,942878257,21,458,55496.90,56190.10,True,True
334,942878257,21,533,55208.40,57211.10,True,True
335,942878257,21,463,55826.90,56587.70,True,True
336,942878257,21,449,54372.60,54896.40,True,True
337,942878257,21,471,56872.20,56909.50,True,True
338,942878257,21,452,54905.10,55537.10,True,True
339,942878257,21,458,54623.70,57122.80,True,True
340,875834929,21,541,57971.10,56355.10,True,True
341,875834929,21,470,56577.60,56298.60,True,True
342,875834929,21,443,56117.20,55946.50,True,True
343,875834929,21,457,54933.00,55853.70,True,True
344,875834929,21,448,54440.50,55573.70,True,True
345,875834929,21,461,56789.40,57833.90,True,True
346,875834929,21,452,57792.20,55977.90,True,True
347,875834929,21,457,53612.20,56654.00,True,True
348,875834929,21,447,55732.80,55936.70,True,True
349,859057713,21,462,56706.60,56713.10,True,True
350,859057713,21,451,55844.70,57033.80,True,True
351,859057713,21,457,57339.50,53413.40,True,True
352,859057713,21,449,57446.00,55231.20,True,True
353,859057713,21,460,56264.00,55612.80,True,True
354,859057713,21,452,56838.00,55646.20,True,True
355,859057713,21,458,56072.60,54035.80,True,True
356,859057713,21,461,58031.60,54514.80,True,True
357,859057713,21,461,54879.30,56086.70,True,True
358,825503281,21,446,54985.10,54775.10,True,True
359,825503281,21,457,54811.90,57099.50,True,True
360,825503281,21,451,57813.30,58686.60,True,True
361,825503281,21,469,55309.70,57606.10,True,True
362,825503281,21,447,57084.10,54843.00,True,True
363,825503281,21,458,55766.50,56458.20,True,True
364,825503281,21,451,54598.40,63079.60,True,True
365,825503281,21,460,54385.20,56138.20,True,True
366,825503281,21,448,57319.60,55590.20,True,True
367,825503281,21,458,55420.50,54098.60,True,True
368,825503281,21,452,54167.60,55881.50,True,True
369,825503281,21,463,54839.70,56307.10,True,True
370,825503281,21,448,54586.90,59186.70,True,True
371,825503281,21,459,56966.20,54192.70,True,True
372,825503281,21,449,54735.90,55299.10,True,True
373,825503281,21,458,56473.60,53365.70,True,True
374,825503281,21,459,55196.10,58010.50,True,True
375,842280497,21,462,54435.70,57596.10,True,True
376,842280497,21,451,56912.20,55511.30,True,True
377,842280497,21,458,54546.10,59165.30,True,True
378,842280497,21,448,54789.10,57714.00,True,True
379,842280497,21,462,55662.10,56861.80,True,True
380,842280497,21,451,55064.70,56523.20,True,True
381,842280497,21,458,55492.30,57708.20,True,True
382,842280497,21,448,56316.50,54172.60,True,True
383,842280497,21,470,55168.30,57327.10,True,True
384,875834929,21,451,57062.90,55475.90,True,True
385,875834929,21,457,55917.20,57744.00,True,True
386,875834929,21,450,56452.70,55014.30,True,True
387,875834929,21,462,56514.40,56589.40,True,True
388,875834929,21,466,55853.50,57767.30,True,True
389,875834929,21,467,56577.10,58191.90,True,True
390,875834929,21,454,54377.30,61129.70,True,True
391,875834929,21,519,54978.60,54886.30,True,True
392,875834929,21,454,52639.40,55137.80,True,True
393,808726065,21,456,55334.30,55211.20,True,True
394,808726065,21,448,55168.10,57664.50,True,True
395,808726065,21,461,55511.10,57043.90,True,True
396,808726065,21,452,53246.00,56254.40,True,True
397,808726065,21,457,56985.00,53455.10,True,True
398,808726065,21,447,57585.40,53099.90,True,True
399,808726065,21,461,53945.10,56117.00,True,True
400,808726065,21,452,54859.80,55079.00,True,True
401,808726065,21,457,55485.90,54392.50,True,True
402,892612145,21,458,54166.90,55154.50,True,True
403,892612145,21,461,55013.20,55589.10,True,True
404,892612145,21,451,55454.80,57502.80,True,True
405,892612145,21,491,57362.90,56878.20,True,True
406,892612145,21,447,55277.10,55097.30,True,True
407,892612145,21,461,54668.50,56216.50,True,True
408,892612145,21,451,56605.10,57182.40,True,True
409,892612145,21,456,56793.70,54563.40,True,True
410,892612145,21,451,58560.30,56340.10,True,True
411,825503281,21,471,55241.70,55107.60,True,True
412,825503281,21,448,54445.20,55235.80,True,True
413,825503281,21,460,57758.80,56174.20,True,True
414,825503281,21,490,55584.10,53604.90,True,True
415,825503281,21,485,55425.50,55425.40,True,True
416,825503281,21,447,56443.20,56554.30,True,True
417,825503281,21,465,55422.60,56753.80,True,True
418,825503281,21,452,58089.40,58010.40,True,True
419,825503281,21,462,56705.10,58855.90,True,True
420,825503281,21,462,55622.70,55659.00,True,True
421,825503281,21,460,54367.90,57503.00,True,True
422,825503281,21,451,53493.50,58890.30,True,True
423,825503281,21,462,56127.70,55446.30,True,True
424,825503281,21,449,54477.40,58155.70,True,True
425,825503281,21,459,55934.40,54259.10,True,True
426,825503281,21,453,55500.50,57126.30,True,True
427,825503281,21,461,56536.10,55028.40,True,True
428,842280497,21,444,57008.00,54861.80,True,True
429,842280497,21,462,54847.30,56581.20,True,True
430,842280497,21,461,55162.00,54370.10,True,True
431,842280497,21,457,56084.80,56190.10,True,True
432,842280497,21,448,57758.10,59736.50,True,True
433,842280497,21,533,55279.30,56165.40,True,True
434,842280497,21,463,56001.80,57128.30,True,True
435,842280497,21,458,54627.70,56395.80,True,True
436,842280497,21,448,58510.10,56853.90,True,True
437,825503281,21,460,58741.70,57748.50,True,True
438,825503281,21,447,56741.50,53323.10,True,True
439,825503281,21,466,53590.00,56437.30,True,True
440,825503281,21,451,54729.30,53624.40,True,True
441,825503281,21,461,56542.20,56195.10,True,True
442,825503281,21,478,55820.70,56201.80,True,True
443,825503281,21,467,53582.70,58015.70,True,True
444,825503281,21,453,53475.40,56477.20,True,True
445,825503281,21,460,56536.50,54851.70,True,True
446,892612145,21,451,52649.20,54923.40,True,True
447,892612145,21,459,53532.40,54112.10,True,True
448,892612145,21,460,57618.00,57067.50,True,True
449,892612145,21,461,56216.20,56596.80,True,True
450,892612145,21,446,53217.60,59067.80,True,True
451,892612145,21,457,55007.90,54965.90,True,True
452,892612145,21,451,55493.70,55804.20,True,True
453,892612145,21,460,54602.80,54998.90,True,True
454,892612145,21,451,55600.20,54897.70,True,True
455,959655473,21,519,56494.80,54844.70,True,True
456,959655473,21,489,55034.70,57019.10,True,True
457,959655473,21,471,56379.50,56942.90,True,True
458,959655473,21,447,55650.70,55798.50,True,True
459,959655473,21,459,54314.20,53410.80,True,True
460,959655473,21,456,55575.80,56206.60,True,True
461,959655473,21,461,56708.40,57551.90,True,True
462,959655473,21,447,54822.40,57950.10,True,True
463,859057713,21,456,56364.90,57359.20,True,True
464,859057713,21,450,54569.30,54373.50,True,True
465,859057713,21,473,54521.40,57052.00,True,True
466,859057713,21,445,55821.30,55619.80,True,True
467,859057713,21,465,55361.70,54987.10,True,True
468,859057713,21,450,54838.60,59802.80,True,True
469,859057713,21,464,53334.70,56115.80,True,True
470,859057713,21,442,54001.50,56216.30,True,True
471,859057713,21,456,56225.70,55731.30,True,True
472,942878257,21,452,53552.10,55316.80,True,True
473,942878257,21,465,56273.60,55993.40,True,True
474,942878257,21,452,56244.60,55863.60,True,True
475,942878257,21,461,60134.20,56157.00,True,True
476,942878257,21,461,54255.90,54984.70,True,True
477,942878257,21,462,55560.00,55784.40,True,True
478,942878257,21,443,56260.10,55407.40,True,True
479,942878257,21,458,56699.40,56696.80,True,True
480,942878257,21,452,53713.00,55943.90,True,True
481,842280497,21,462,56856.00,57787.00,True,True
482,842280497,21,451,55166.10,54764.30,True,True
483,842280497,21,525,56192.30,58035.20,True,True
484,842280497,21,452,55315.60,54972.40,True,True
485,842280497,21,458,55435.30,53856.60,True,True
486,842280497,21,462,54961.40,55469.00,True,True
487,842280497,21,462,56436.10,52329.60,True,True
488,842280497,21,448,55253.50,54941.40,True,True
489,842280497,21,458,55016.90,55147.70,True,True
490,875834929,21,460,57218.20,55121.30,True,True
491,875834929,21,460,54060.00,58203.70,True,True
492,875834929,21,448,54453.90,56043.60,True,True
493,875834929,21,457,56156.20,55293.40,True,True
494,875834929,21,452,55716.90,53849.80,True,True
495,875834929,21,480,56639.10,54149.50,True,True
496,875834929,21,447,56387.00,57233.40,True,True
497,875834929,21,459,56618.00,55852.80,True,True
498,875834929,21,444,54797.70,55101.40,True,True
499,875834929,21,460,53600.70,54431.10,True,True
500,875834929,21,446,54006.00,55034.20,True,True
501,875834929,21,458,56243.90,56241.70,True,True
502,875834929,21,451,55250.50,57884.90,True,True
503,875834929,21,575,53272.00,56618.00,True,True
504,875834929,21,461,53862.00,55952.30,True,True
505,875834929,21,457,55602.30,57917.80,True,True
506,875834929,21,448,56744.60,55867.90,True,True
507,842280497,21,462,55647.60,55699.40,True,True
508,842280497,21,452,53767.30,55147.20,True,True
509,842280497,21,457,54496.50,55832.00,True,True
510,842280497,21,493,55389.10,55740.80,True,True
511,842280497,21,462,55014.20,56137.70,True,True
512,842280497,21,452,56848.10,56119.40,True,True
513,842280497,21,463,56437.40,56622.90,True,True
514,842280497,21,464,55672.70,57213.60,True,True
515,842280497,21,463,54874.40,56632.80,True,True
516,892612145,21,448,56405.00,56471.40,True,True
517,892612145,21,459,53060.60,58016.50,True,True
518,892612145,21,452,55291.60,56437.50,True,True
519,892612145,21,463,54127.30,56769.40,True,True
520,892612145,21,452,55971.70,58115.70,True,True
521,892612145,21,492,56017.20,56586.20,True,True
522,892612145,21,452,54963.00,54815.50,True,True
523,892612145,21,472,53989.00,54853.90,True,True
524,892612145,21,448,55523.60,54992.80,True,True
525,859057713,21,458,57002.10,53606.40,True,True
526,859057713,21,451,55915.10,55694.90,True,True
527,859057713,21,460,55151.60,55849.90,True,True
528,859057713,21,447,55053.10,55729.60,True,True
529,859057713,21,457,54344.80,54799.90,True,True
530,859057713,21,451,55984.40,54023.60,True,True
531,859057713,21,456,57540.00,53692.30,True,True
532,859057713,21,458,55146.30,53517.90,True,True
533,859057713,21,459,54572.80,53655.10,True,True
534,875834929,21,451,56585.60,53937.10,True,True
535,875834929,21,457,54179.10,55456.60,True,True
536,875834929,21,451,55443.50,53348.50,True,True
537,875834929,21,470,54367.10,55641.00,True,True
538,875834929,21,448,56289.50,55423.70,True,True
539,875834929,21,460,54677.50,54105.80,True,True
540,875834929,21,452,55320.10,56699.30,True,True
541,875834929,21,476,59158.70,53758.00,True,True
542,875834929,21,455,56124.20,58310.60,True,True
543,909389361,21,458,54626.90,56073.70,True,True
544,909389361,21,453,57042.60,54219.30,True,True
545,909389361,21,461,55245.70,55428.20,True,True
546,909389361,21,447,54067.20,55491.90,True,True
547,909389361,21,467,56531.00,55509.50,True,True
548,909389361,21,443,56147.70,53655.40,True,True
549,909389361,21,461,56079.30,56687.80,True,True
550,909389361,21,448,55401.50,53755.80,True,True
551,909389361,21,461,54952.70,57984.00,True,True
552,892612145,21,461,57135.50,55320.70,True,True
553,892612145,21,458,55171.00,57838.30,True,True
554,892612145,21,449,56283.20,59455.40,True,True
555,892612145,21,462,55913.00,53811.30,True,True
556,892612145,21,453,57159.80,57225.60,True,True
557,892612145,21,471,55557.40,60949.10,True,True
558,892612145,21,452,54405.90,56080.00,True,True
559,892612145,21,462,55040.80,57590.90,True,True
560,859057713,21,460,55611.40,54996.30,True,True
561,859057713,21,467,58422.90,56872.30,True,True
562,859057713,21,453,57746.70,53986.80,True,True
563,859057713,21,462,57199.00,55102.60,True,True
564,859057713,21,451,55974.90,56335.50,True,True
565,859057713,21,460,56056.40,56505.30,True,True
566,859057713,21,452,56547.90,56789.00,True,True
567,859057713,21,461,58896.90,55164.80,True,True
568,859057713,21,445,55987.70,57421.30,True,True
569,892612145,21,466,54644.30,55626.70,True,True
570,892612145,21,451,54715.90,53930.40,True,True
571,892612145,21,464,56549.80,54395.10,True,True
572,892612145,21,447,56261.00,55530.30,True,True
573,892612145,21,458,59016.10,57283.30,True,True
574,892612145,21,451,55274.00,53915.40,True,True
575,892612145,21,460,55952.90,56124.90,True,True
